Recrutamento para vaga de emprego;;;;;;
Nome;Idade;Ensino Médio;Curso Técnico;Anos de experiência na área;Situação;
Alfa Romeu Julia;17;Não;Sim;1;Não Apto;
Fusclaudia de Oliveira;24;Sim;Sim;3;Apto;
Unotavio dos Santos;28;Sim;Sim;4;Apto;
Nissan Silvia;18;Sim;Não;1;Não Apto;
Ferrari Enzo;22;Sim;Sim;2;Não Apto;
;;;;;;
;;;;;;
;;;;;;
Requisitos para ser contratado;;;;;;
Ter idade maior ou igual a 18 anos;;;;;;
Ter Ensino Médio completo;;;;;;
Ter curso de vendedor;;;;;;
Ter no mínimo 3 anos de experiência na área;;;;;;
